availability,category,price,stars,title
True,poetry,51.77,3,a light in the attic
True,poetry,52.15,3,the black maria
True,poetry,22.6,3,the boys in the boat: nine americans and their epic quest for gold at the 1936 berlin olympics
True,poetry,17.93,3,"the coming woman: a novel based on the life of the infamous feminist, victoria woodhull"
True,poetry,33.34,3,the dirty little secrets of getting your dream job
True,poetry,22.65,3,the requiem red
True,poetry,54.23,3,sapiens: a brief history of humankind
True,poetry,47.82,3,sharp objects
True,poetry,50.1,3,soumission
True,poetry,53.74,3,tipping the velvet
True,poetry,23.88,3,olio
True,poetry,57.25,3,"our band could be your life: scenes from the american indie underground, 1981-1991"
True,poetry,35.02,3,rip it up and start again
True,poetry,52.29,3,scott pilgrim's precious little life (scott pilgrim #1)
True,poetry,17.46,3,set me free
True,poetry,20.66,3,shakespeare's sonnets
True,poetry,45.17,3,it's only the himalayas
True,poetry,51.33,3,libertarianism for beginners
True,poetry,37.59,3,mesaerion: the best science fiction stories 1800-1849
True,poetry,13.99,3,"starving hearts (triangular trade trilogy, #1)"
True,thriller,54.64,1,birdsong: a story in pictures
True,thriller,34.53,1,black dust
True,thriller,25.27,1,chase me (paris nights #2)
True,thriller,30.52,1,"foolproof preserving: a guide to small batch jams, jellies, pickles, condiments, and more: a foolproof guide to making small batch jams, jellies, pickles, condiments, and more"
True,thriller,37.32,1,how music works
True,thriller,12.84,1,in her wake
True,thriller,15.94,1,sophie's world
True,thriller,36.89,1,the bear and the piano
True,thriller,23.82,1,the elephant tree
True,thriller,31.05,1,the five love languages: how to express heartfelt commitment to your mate
True,thriller,17.66,1,the four agreements: a practical guide to personal freedom
True,thriller,44.18,1,wall and piece
True,thriller,33.63,1,you can't bury them all: poems
True,thriller,52.22,1,behind closed doors
True,thriller,19.63,1,"in a dark, dark wood"
True,thriller,18.02,1,maude (1883-1993):she grew up with the country
True,thriller,33.29,1,penny maybe
True,thriller,40.3,1,worlds elsewhere: journeys around shakespeare’s globe
True,thriller,53.13,1,aladdin and his wonderful lamp
True,thriller,22.5,1,america's cradle of quarterbacks: western pennsylvania's football factory from johnny unitas to joe montana
True,poetry,47.61,3,private paris (private #10)
True,poetry,26.41,3,reasons to stay alive
True,poetry,57.31,3,slow states of collapse: poems
True,poetry,19.09,3,the torch is passed: a harding family story
True,poetry,17.27,3,thirst
True,poetry,19.49,3,this one summer
True,poetry,31.12,3,throwing rocks at the google bus: how growth became the enemy of prosperity
True,poetry,16.28,3,tsubasa: world chronicle 2 (tsubasa world chronicle #2)
True,poetry,45.22,3,the natural history of us (the fine art of pretending #2)
True,poetry,56.5,3,the past never ends
True,poetry,56.41,3,"the pioneer woman cooks: dinnertime: comfort classics, freezer food, 16-minute meals, and other delicious ways to solve supper!"
True,poetry,56.13,3,the secret of dreadwillow carse
True,poetry,25.52,3,"unbound: how eight technologies made us human, transformed society, and brought our world to the brink"
True,poetry,18.78,3,unicorn tracks
True,poetry,44.18,3,"unseen city: the majesty of pigeons, the discreet charm of snails & other wonders of the urban wilderness"
True,poetry,14.27,3,untitled collection: sabbath poems 2014
True,poetry,50.27,3,"we love you, charlie freeman"
True,poetry,31.77,3,when we collided
True,poetry,45.07,3,without borders (wanderlove #1)
True,poetry,23.11,3,#higherselfie: wake up your life. free your soul. find your tribe.
True,sequential art,23.89,4,"the mindfulness and acceptance workbook for anxiety: a guide to breaking free from anxiety, phobias, and worry using acceptance and commitment therapy"
True,sequential art,42.96,4,the most perfect thing: inside (and outside) a bird's egg
True,sequential art,54.11,4,the murder that never was (forensic instincts #5)
True,sequential art,38.16,4,the nameless city (the nameless city #1)
True,sequential art,50.4,4,"rat queens, vol. 3: demons (rat queens (collected editions) #11-15)"
True,sequential art,19.83,4,reskilling america: learning to labor in the twenty-first century
True,sequential art,51.04,4,"saga, volume 5 (saga (collected editions) #5)"
True,sequential art,25.02,4,"saga, volume 6 (saga (collected editions) #6)"
True,sequential art,39.25,4,security
True,sequential art,39.58,4,soul reader
True,sequential art,41.83,4,spark joy: an illustrated master class on the art of organizing and tidying up
True,sequential art,32.24,4,the activist's tao te ching: ancient advice for a modern revolution
True,sequential art,19.73,4,the age of genius: the seventeenth century and the birth of the modern mind
True,sequential art,40.76,4,the art forger
True,sequential art,49.05,4,"the bulletproof diet: lose up to a pound a day, reclaim energy and focus, upgrade your life"
True,sequential art,58.11,4,the death of humanity: and the case for life
True,sequential art,56.06,4,the electric pencil: drawings from inside state hospital no. 3
True,sequential art,37.13,4,the gutsy girl: escapades for your life of epic adventure
True,sequential art,20.59,4,"the inefficiency assassin: time management tactics for working smarter, not longer"
True,sequential art,16.77,4,the life-changing magic of tidying up: the japanese art of decluttering and organizing
True,sequential art,22.0,5,in the country we love: my family divided
True,sequential art,35.67,5,join
True,sequential art,53.9,5,judo: seven steps to black belt (an introductory guide for beginners)
True,sequential art,40.11,5,"layered: baking, building, and styling spectacular cakes"
True,sequential art,19.92,5,lumberjanes vol. 3: a terrible plan (lumberjanes #9-12)
True,sequential art,45.61,5,"lumberjanes, vol. 1: beware the kitten holy (lumberjanes #1-4)"
True,sequential art,46.91,5,"lumberjanes, vol. 2: friendship to the max (lumberjanes #5-8)"
True,sequential art,14.02,5,"mama tried: traditional italian cooking for the screwed, crude, vegan, and tattooed"
True,sequential art,56.4,5,masks and shadows
True,sequential art,33.37,5,my paris kitchen: recipes and stories
True,sequential art,14.86,5,obsidian (lux #1)
True,sequential art,14.07,5,on a midnight clear
True,sequential art,46.35,5,online marketing for busy authors: a step-by-step guide
True,sequential art,48.41,5,orange: the complete collection 1 (orange: the complete collection #1)
True,sequential art,15.44,5,"outcast, vol. 1: a darkness surrounds him (outcast #1)"
True,sequential art,10.16,5,patience
True,science,28.09,5,"avatar: the last airbender: smoke and shadow, part 3 (smoke and shadow #3)"
True,science,37.92,5,"bitch planet, vol. 1: extraordinary machine (bitch planet (collected editions))"
True,science,49.46,5,bossypants
True,science,28.81,5,burning
True,science,29.14,5,call the nurse: true stories of a country nurse on a scottish isle
True,science,17.08,5,camp midnight
True,science,36.72,5,"codename baboushka, volume 1: the conclave of death"
True,science,43.29,5,crown of midnight (throne of glass #2)
True,science,51.99,5,danganronpa volume 1
True,science,37.97,5,"don't be a jerk: and other practical advice from dogen, japan's greatest zen master"
True,science,54.35,5,everydata: the misinformation hidden in the little data you consume every day
True,science,21.96,5,fifty shades darker (fifty shades #2)
True,science,15.97,5,first and first (five boroughs #3)
True,science,29.69,5,forever and forever: the courtship of henry longfellow and fanny appleton
True,science,22.11,5,"giant days, vol. 2 (giant days #5-8)"
True,science,33.97,5,her backup boyfriend (the sorensen family #1)
True,nonfiction,17.44,1,the stranger
True,nonfiction,12.61,1,the third wave: an entrepreneur’s vision of the future
True,nonfiction,42.15,1,the vacationers
True,nonfiction,24.12,1,the wedding dress
True,nonfiction,58.08,1,the white cat and the monk: a retelling of the poem “pangur bán”
True,nonfiction,52.72,1,thirteen reasons why
True,nonfiction,59.64,1,thomas jefferson and the tripoli pirates: the forgotten war that changed american history
True,nonfiction,35.07,1,throne of glass (throne of glass #1)
True,nonfiction,41.6,1,tracing numbers on a train
True,nonfiction,21.04,1,tuesday nights in 1980
True,nonfiction,43.3,1,"william shakespeare's star wars: verily, a new hope (william shakespeare's star wars #4)"
True,nonfiction,21.87,1,you are what you love: the spiritual power of habit
True,nonfiction,54.0,1,(un)qualified: how god uses broken people to do big things
True,nonfiction,52.37,1,a court of thorns and roses (a court of thorns and roses #1)
True,nonfiction,28.13,1,a fierce and subtle poison
True,nonfiction,55.53,1,a flight of arrows (the pathfinders #2)
True,sequential art,41.25,1,the cookies & cups cookbook: 125+ sweet & savory recipes reminding you to always eat dessert first
True,sequential art,23.15,1,the emerald mystery
True,sequential art,17.24,1,the genius of birds
True,sequential art,55.02,1,the girl on the train
True,sequential art,44.28,1,the glittering court (the glittering court #1)
True,sequential art,36.95,1,the house by the lake
True,sequential art,41.82,1,the kite runner
True,sequential art,10.97,1,the long shadow of small ghosts: murder and memory in an american city
True,sequential art,37.6,1,the love and lemons cookbook: an apple-to-zucchini celebration of impromptu cooking
True,sequential art,55.85,1,the matchmaker's playbook (wingmen inc. #1)
True,sequential art,43.29,1,the mistake (off-campus #2)
True,sequential art,44.1,1,the murder of roger ackroyd (hercule poirot #4)
True,sequential art,37.34,1,the nerdy nummies cookbook: sweet treats for the geek in all of us
True,sequential art,38.21,1,the omnivore's dilemma: a natural history of four meals
True,sequential art,43.54,1,the power of now: a guide to spiritual enlightenment
True,sequential art,10.65,1,the project
True,default,30.25,3,mrs. houdini
True,default,41.05,3,night sky with exit wounds
True,default,38.28,3,"nightingale, sing"
True,default,14.19,3,poems that make grown women cry
True,default,41.06,3,poses for artists volume 1 - dynamic and sitting poses: an essential reference for figure drawing and the human form
True,default,20.47,3,redeeming love
True,default,36.94,3,romero and juliet: a tragic tale of love and zombies
True,default,43.55,3,scarlett epstein hates it here
True,default,20.27,3,secrets and lace (fatal hearts #1)
True,default,29.06,3,"shobu samurai, project aryoku (#3)"
True,default,23.99,3,shoe dog: a memoir by the creator of nike
True,default,12.23,3,so you've been publicly shamed
True,default,26.12,3,soft apocalypse
True,default,16.24,3,something more than this
True,default,55.99,3,suddenly in love (lake haven #1)
True,default,27.55,3,the 10% entrepreneur: live your startup dream without quitting your day job
True,add a comment,42.16,5,"deliciously ella every day: quick and easy recipes for gluten-free snacks, packed lunches, and simple meals"
True,add a comment,35.61,5,doing it over (most likely to #1)
True,add a comment,37.72,5,done rubbed out (reightman & bailey #1)
True,add a comment,34.95,5,drive: the surprising truth about what motivates us
True,add a comment,54.59,5,eureka trivia 6.0
True,add a comment,41.62,5,"fables, vol. 1: legends in exile (fables #1)"
True,add a comment,53.53,5,finders keepers (bill hodges trilogy #2)
True,add a comment,29.0,5,first steps for new christians (print edition)
True,add a comment,21.36,5,follow you home
True,add a comment,29.99,5,frostbite (vampire academy #2)
True,add a comment,49.43,5,full moon over noah’s ark: an odyssey to mount ararat and beyond
True,add a comment,22.16,5,grumbles
True,add a comment,42.98,5,hollow city (miss peregrine’s peculiar children #2)
True,add a comment,57.36,5,i had a nice time and other lies...: how to find love & sh*t like that
True,add a comment,19.15,5,large print heart of the pride
True,add a comment,48.56,5,library of souls (miss peregrine’s peculiar children #3)
True,erotica,52.65,5,why the right went wrong: conservatism--from goldwater to the tea party and beyond
True,erotica,14.36,5,wild swans
True,erotica,37.34,5,"wonder woman: earth one, volume one (wonder woman: earth one #1)"
True,erotica,43.61,5,you (you #1)
True,erotica,24.7,5,zealot: the life and times of jesus of nazareth
True,erotica,12.51,5,agnostic: a spirited manifesto
True,erotica,50.54,5,amatus
True,erotica,36.58,5,amid the chaos
True,erotica,18.46,5,amy meets the saints and sages
True,erotica,46.82,5,anonymous
True,erotica,15.48,5,ayumi's violin
True,erotica,15.38,5,batman: the dark knight returns (batman)
True,erotica,36.5,5,batman: the long halloween (batman)
True,erotica,11.11,5,beauty restored (riley family legacy novellas #3)
True,erotica,27.43,5,becoming wise: an inquiry into the mystery and art of living
True,erotica,30.8,5,big magic: creative living beyond fear
True,nonfiction,54.04,4,the rosie project (don tillman #1)
True,nonfiction,37.4,4,the song of achilles
True,nonfiction,44.48,4,the songs of the gods
True,nonfiction,46.02,4,the star-touched queen
True,nonfiction,52.67,4,the testament of mary
True,nonfiction,27.88,4,the time keeper
True,nonfiction,32.61,4,the wedding pact (the o'malleys #2)
True,nonfiction,25.91,4,the white queen (the cousins' war #1)
True,nonfiction,56.8,4,the wright brothers
True,nonfiction,43.04,4,the year of magical thinking
True,nonfiction,27.12,4,this is where it ends
True,nonfiction,25.38,4,through the woods
True,nonfiction,22.08,4,twenty yawns
True,nonfiction,45.95,4,"unbroken: a world war ii story of survival, resilience, and redemption"
True,nonfiction,46.31,4,until friday night (the field party #1)
True,nonfiction,37.1,4,v for vendetta (v for vendetta complete)
True,default,45.21,3,take me with you
True,default,10.69,3,tastes like fear (di marnie rome #3)
True,default,13.92,3,that darkness (gardiner and renner #1)
True,default,39.24,3,the 14th colony (cotton malone #11)
True,default,15.77,3,the bad-ass librarians of timbuktu: and their race to save the world’s most precious manuscripts
True,default,44.73,3,the bane chronicles (the bane chronicles #1-11)
True,default,35.35,3,the darkest lie
True,default,48.78,3,the dovekeepers
True,default,25.85,3,the first hostage (j.b. collins #2)
True,default,13.82,3,the guilty (will robie #4)
True,default,28.77,3,the help yourself cookbook for kids: 60 easy plant-based recipes kids can make to stay healthy and save the earth
True,default,52.26,3,the hidden oracle (the trials of apollo #1)
True,default,40.67,3,the immortal life of henrietta lacks
True,default,54.21,3,the last mile (amos decker #2)
True,default,17.43,3,the literature book (big ideas simply explained)
True,default,23.4,3,the loney
True,nonfiction,38.39,1,"naruto (3-in-1 edition), vol. 14: includes vols. 40, 41 & 42 (naruto: omnibus #14)"
True,nonfiction,21.95,1,no dream is too high: life lessons from a man who walked on the moon
True,nonfiction,11.83,1,old school (diary of a wimpy kid #10)
True,nonfiction,18.28,1,once was a time
True,nonfiction,52.15,1,"overload: how to unplug, unwind, and unleash yourself from the pressure of stress"
True,nonfiction,10.56,1,pet sematary
True,nonfiction,50.89,1,"quarter life poetry: poems for the young, broke and hangry"
True,nonfiction,23.57,1,rain fish
True,nonfiction,25.48,1,"red hood/arsenal, vol. 1: open for business (red hood/arsenal #1)"
True,nonfiction,47.82,1,robin war
True,nonfiction,46.78,1,salt.
True,nonfiction,48.87,1,see america: a celebration of our national parks & treasured sites
True,nonfiction,55.84,1,shtum
True,nonfiction,35.43,1,"so cute it hurts!!, vol. 6 (so cute it hurts!! #6)"
True,nonfiction,52.79,1,someone like you (the harrisons #2)
True,nonfiction,44.74,1,sorting the beef from the bull: the science of food fraud forensics
True,fiction,47.02,1,"hush, hush (hush, hush #1)"
True,fiction,14.75,1,"hyperbole and a half: unfortunate situations, flawed coping mechanisms, mayhem, and other things that happened"
True,fiction,10.6,1,i am pilgrim (pilgrim #1)
True,fiction,25.98,1,i know what i'm doing -- and other lies i tell myself: dispatches from a life under construction
True,fiction,29.65,1,island of dragons (unwanteds #7)
True,fiction,19.55,1,"it's all easy: healthy, delicious weeknight meals in under 30 minutes"
True,fiction,16.28,1,lady midnight (the dark artifices #1)
True,fiction,26.79,1,let it out: a journey through journaling
True,fiction,46.91,1,"living leadership by insight: a good leader achieves, a great leader builds monuments"
True,fiction,29.14,1,looking for lovely: collecting the moments that matter
True,fiction,18.03,1,love is a mix tape (music #1)
True,fiction,51.51,1,lowriders to the center of the earth (lowriders in space #2)
True,fiction,49.83,1,luckiest girl alive
True,fiction,53.95,1,luis paints the world
True,fiction,38.85,1,made to stick: why some ideas survive and others die
True,fiction,37.61,1,more than music (chasing the dream #1)
True,romance,25.01,1,cometh the hour (the clifton chronicles #6)
True,romance,47.72,1,crazy love: overwhelmed by a relentless god
True,romance,36.58,1,daily fantasy sports
True,romance,11.21,1,dear mr. knightley
True,romance,37.51,1,demigods & magicians: percy and annabeth meet the kanes (percy jackson & kane chronicles crossover #1-3)
True,romance,40.12,1,doctor sleep (the shining #2)
True,romance,55.35,1,don't get caught
True,romance,54.07,1,"eat fat, get thin"
True,romance,51.75,1,"eaternity: more than 150 deliciously easy vegan recipes for a long, healthy, satisfied, joyful life"
True,romance,14.39,1,eight hundred grapes
True,romance,57.62,1,el deafo
True,romance,27.09,1,eligible (the austen project #4)
True,romance,46.47,1,every last word
True,romance,15.06,1,"far & away: places on the brink of change: seven continents, twenty-five years"
True,romance,49.05,1,feathers: displays of brilliant plumage
True,romance,45.84,1,glory over everything: beyond the kitchen house
True,add a comment,51.48,4,angels & demons (robert langdon #1)
True,add a comment,34.2,4,angels walking (angels walking #1)
True,add a comment,58.14,4,aristotle and dante discover the secrets of the universe (aristotle and dante discover the secrets of the universe #1)
True,add a comment,48.8,4,art ops vol. 1
True,add a comment,17.03,4,balloon animals
True,add a comment,50.62,4,barefoot contessa at home: everyday recipes you'll make over and over again
True,add a comment,28.01,4,barefoot contessa back to basics
True,add a comment,32.01,4,batman: europa
True,add a comment,49.32,4,brain on fire: my month of madness
True,add a comment,37.8,4,buying in: the secret dialogue between what we buy and who we are
True,add a comment,46.23,4,carrie
True,add a comment,31.85,4,"carry on, warrior: thoughts on life unarmed"
True,add a comment,50.83,4,catching jordan (hundred oaks)
True,add a comment,20.29,4,cell
True,add a comment,47.27,4,city of ashes (the mortal instruments #2)
True,add a comment,43.28,4,city of bones (the mortal instruments #1)
True,historical,46.29,5,the silent sister (riley macpherson #1)
True,historical,32.3,5,the star-touched queen
True,historical,37.55,5,tipping point for planet earth: how close are we to the edge?
True,historical,13.86,5,will you won't you want me?
True,historical,27.06,5,13 hours: the inside account of what really happened in benghazi
True,historical,11.53,5,my kitchen year: 136 recipes that saved my life
True,historical,37.86,5,rook
True,historical,38.73,5,searching for meaning in gailana
True,historical,13.33,5,"the three searches, meaning, and the story"
True,historical,21.8,5,1491: new revelations of the americas before columbus
True,historical,55.51,5,a brush of wings (angels walking #3)
True,historical,14.58,5,a distant mirror: the calamitous 14th century
True,historical,39.72,5,a man called ove
True,historical,40.79,5,a people's history of the united states
True,historical,56.48,5,"a series of catastrophes and miracles: a true story of love, science, and cancer"
True,historical,16.73,5,a study in scarlet (sherlock holmes #1)
True,add a comment,58.32,1,how to speak golf: an illustrated guide to links lingo
True,add a comment,20.55,1,"love, lies and spies"
True,add a comment,35.28,1,most wanted
True,add a comment,54.36,1,murder at the 42nd street library (raymond ambler #1)
True,add a comment,54.65,1,no love allowed (dodge cove #1)
True,add a comment,15.71,1,one with you (crossfire #5)
True,add a comment,26.8,1,poisonous (max revere novels #3)
True,add a comment,36.97,1,psycho: sanitarium (psycho #1.5)
True,add a comment,43.14,1,quench your own thirst: business lessons learned over a beer or two
True,add a comment,49.67,1,raspberry pi electronics projects for the evil genius
True,add a comment,21.21,1,snatched: how a drug queen went undercover for the dea and was kidnapped by colombian guerillas
True,add a comment,48.05,1,stars above (the lunar chronicles #4.5)
True,add a comment,11.88,1,the children
True,add a comment,59.9,1,the diary of a young girl
True,add a comment,56.54,1,the dinner party
True,add a comment,14.44,1,the epidemic (the program 0.6)
True,mystery,47.67,1,off the hook (fishing for trouble #1)
True,mystery,13.71,1,playing with fire
True,mystery,21.15,1,"setting the world on fire: the brief, astonishing life of st. catherine of siena"
True,mystery,48.74,1,sleeping giants (themis files #1)
True,mystery,53.98,1,take me home tonight (rock star romance #3)
True,mystery,21.0,1,the art of startup fundraising
True,mystery,59.45,1,the improbability of love
True,mystery,11.68,1,"the sleep revolution: transforming your life, one night at a time"
True,mystery,27.26,1,the widow
True,mystery,48.39,1,troublemaker: surviving hollywood and scientology
True,mystery,38.77,1,"a la mode: 120 recipes in 60 pairings: pies, tarts, cakes, crisps, and more topped with ice cream, gelato, frozen custard, and more"
True,mystery,39.01,1,a paris apartment
True,mystery,59.48,1,boar island (anna pigeon #19)
True,mystery,48.64,1,can you keep a secret? (fear street relaunch #4)
True,mystery,40.83,1,dirty (dive bar #1)
True,mystery,56.51,1,eleanor & park
